ID,total_incurred_loss,risk_type,currency
10253,17.46,B,USD
10254,6.82,B,USD
10255,89.9,B,NOK
10256,13.68,B,USD
10257,43.83,B,CNY
10258,7.76,B,USD
10259,155.9,B,NOK
10260,9.14,B,USD
10261,122.42,B,CNY
10262,82.3,B,CNY
10263,36.16,B,NOK
10264,72.11,B,CNY
10265,9.54,B,USD
10266,107.31,B,NOK
10267,168.3,B,NOK
10268,15.84,B,USD
10269,7.63,B,USD
10270,39.41,B,CNY
10271,5.1,B,USD
10272,156.21,B,NOK
10273,77.1,B,NOK
10274,89.61,B,NOK
10275,12.66,B,USD
10276,7.44,B,USD
10277,10.53,B,USD
10278,40.09,B,NOK
10279,8.46,B,USD
10280,8.53,B,USD
10281,188.53,B,NOK
10282,52.97,B,CNY
10283,6.09,B,USD
10284,40.11,B,CNY
10285,19.61,B,USD
10286,61.32,B,CNY
10287,12.6,B,USD
10288,97.92,B,CNY
10289,94.05,B,CNY
10290,66.53,B,NOK
10291,81.84,B,CNY
10292,7.36,B,USD
10293,63.57,B,CNY
10294,7.09,B,USD
10295,5.92,B,USD
10296,38.37,B,CNY
10297,10.81,B,USD
10298,6.07,B,USD
10299,65.66,B,CNY
10300,18.41,B,USD
10301,9.55,B,USD
10302,51.15,B,NOK
10303,10.44,B,USD
10304,4.13,B,USD
10305,8.91,B,USD
10306,60.3,B,CNY
10307,91.61,B,NOK
10308,9.8,B,USD
10309,10.78,B,USD
10310,93.81,B,NOK
10311,111.13,B,CNY
10312,4.36,B,USD
10313,61.21,B,CNY
10314,71.26,B,NOK
10315,81.52,B,CNY
10316,10.92,B,USD
10317,46.54,B,CNY
10318,6.39,B,USD
10319,119.72,B,NOK
10320,51.25,B,CNY
10321,115.88,B,NOK
10322,6.05,B,USD
10323,8.37,B,USD
10324,7.43,B,USD
10325,53.49,B,CNY
10326,9.2,B,USD
10327,124.47,B,NOK
10328,7.36,B,USD
10329,7.36,B,USD
10330,156.87,B,NOK
10331,7.72,B,USD
10332,11.31,B,USD
10333,10.85,B,USD
10334,9.91,B,USD
10335,11.12,B,USD
10336,6.07,B,USD
10337,11,B,USD
10338,6.24,B,USD
10339,5.72,B,USD
10340,6.55,B,USD
10341,9.13,B,USD
10342,56.56,B,CNY
10343,122.78,B,CNY
10344,76.73,B,NOK
10345,74.35,B,NOK
10346,83.72,B,NOK
10347,11.43,B,USD
10348,151.52,B,NOK
10349,9.72,B,USD
10350,25.95,B,CNY
10351,8.22,B,USD
10352,93.63,B,CNY
10353,76.92,B,NOK
10354,53.17,B,NOK
10355,11.72,B,USD
10356,48.4,B,NOK
10357,7.27,B,USD
10358,76.88,B,NOK
10359,12.63,B,USD
10360,60.39,B,CNY
10361,9.21,B,USD
10362,76.04,B,CNY
10363,47.98,B,NOK
10364,3.91,B,USD
10365,48.74,B,CNY
10366,6.82,B,USD
10367,14.15,B,USD
10368,7.3,B,USD
10369,103,B,NOK
10370,96.11,B,NOK
10371,78.26,B,CNY
10372,10.5,B,USD
10373,8.03,B,USD
10374,101.92,B,NOK
10375,95.21,B,CNY
10376,51.62,B,CNY
10377,111.37,B,CNY
10378,180.53,B,NOK
10379,6.14,B,USD
10380,10.66,B,USD
10381,13.73,B,USD
10382,17.16,B,USD
10383,9.38,B,USD
10384,137.35,B,CNY
10385,132.14,B,NOK
10386,65.18,B,CNY
10387,63.46,B,CNY
10388,79.14,B,NOK
10389,133.76,B,NOK
10390,80.28,B,CNY
10391,6.54,B,USD
10392,42.52,B,CNY
10393,10.83,B,USD
10394,67.83,B,CNY
10395,5.96,B,USD
10396,114.86,B,CNY
10397,5.62,B,USD
10398,8.43,B,USD
10399,5.82,B,USD
10400,14.47,B,USD
10401,5.55,B,USD
10402,5.79,B,USD
10403,36.83,B,CNY
10404,14.56,B,USD
10405,7.73,B,USD
10406,118.67,B,NOK
10407,15.5,B,USD
10408,9.4,B,USD
10409,8.67,B,USD
10410,37.5,B,NOK
10411,8.88,B,USD
10412,11.69,B,USD
10413,38.52,B,NOK
10414,10.2,B,USD
10415,14.26,B,USD
10416,8.13,B,USD
10417,48.17,B,CNY
10418,209.33,B,NOK
10419,75.79,B,NOK
10420,29.58,B,CNY
10421,6.1,B,USD
10422,54.44,B,CNY
10423,76.68,B,CNY
10424,95.45,B,NOK
10425,8.06,B,USD
10426,100.81,B,CNY
10427,8.38,B,USD
10428,61.4,B,CNY
10429,8.03,B,USD
10430,10.27,B,USD
10431,6.55,B,USD
10432,10.45,B,USD
10433,9.98,B,USD
10434,46.95,B,CNY
10435,22.24,B,CNY
10436,50.31,B,CNY
10437,108.89,B,NOK
10438,44.54,B,CNY
10439,95.4,B,NOK
10440,8.13,B,USD
10441,59.72,B,CNY
10442,6.51,B,USD
10443,9.32,B,USD
10444,10.31,B,USD
10445,4.79,B,USD
10446,10.05,B,USD
10447,11.56,B,USD
10448,14.15,B,USD
10449,8.74,B,USD
10450,7.99,B,USD
10451,64.82,B,NOK
10452,5.6,B,USD
10453,48.88,B,NOK
10454,49.66,B,CNY
10455,36.67,B,NOK
10456,48.3,B,CNY
10457,19.51,B,USD
10458,17.32,B,USD
10459,38.68,B,CNY
10460,7.6,B,USD
10461,7.36,B,USD
10462,10.68,B,USD
10463,6.2,B,USD
10464,83.52,B,NOK
10465,26.12,B,NOK
10466,92.28,B,NOK
10467,48.67,B,CNY
10468,9.64,B,USD
10469,18.14,B,USD
10470,27.68,B,CNY
10471,79.09,B,CNY
10472,33.7,B,NOK
10473,70.78,B,CNY
10474,9.49,B,USD
10475,7.28,B,USD
10476,38.76,B,NOK
10477,54.14,B,CNY
10478,5.79,B,USD
10479,8.65,B,USD
10480,3.68,B,USD
10481,97.25,B,CNY
10482,146.96,B,NOK
10483,7.26,B,USD
10484,11.76,B,USD
10485,16.33,B,USD
10486,96.42,B,NOK
10487,60.37,B,NOK
10488,68.08,B,CNY
10489,121.11,B,CNY
10490,9.73,B,USD
10491,6.69,B,USD
10492,12.53,B,USD
10493,138.54,B,NOK
10494,13.52,B,USD
10495,139.37,B,NOK
10496,10.05,B,USD
10497,10.72,B,USD
10498,87.37,B,CNY
10499,78.24,B,NOK
10500,11.69,B,USD
10501,12.37,B,USD
10502,15.31,B,USD
10503,12.94,B,USD
10504,160.83,B,NOK
10505,104.99,B,NOK
10506,15.95,B,USD
10507,13.62,B,USD
10508,9.45,B,USD
10509,106.77,B,NOK
10510,41.9,B,NOK
10511,7.4,B,USD
10512,96.72,B,NOK
10513,7.7,B,USD
10514,59.75,B,NOK
10515,9.72,B,USD
10516,7.4,B,USD
10517,4.86,B,USD
10518,60.38,B,CNY
10519,291.75,B,NOK
10520,139.1,B,CNY
10521,7.39,B,USD
10522,71.89,B,NOK
10523,59.39,B,NOK
10524,78.33,B,CNY
10525,8.79,B,USD
10526,4.83,B,USD
10527,61.24,B,CNY
10528,24.76,B,USD
10529,7.25,B,USD
10530,58.62,B,CNY
10531,12.35,B,USD
10532,8.34,B,USD
10533,4.97,B,USD
10534,8.79,B,USD
10535,74.68,B,CNY
10536,15.56,B,USD
10537,7.37,B,USD
10538,7.62,B,USD
10539,15.46,B,USD
10540,14.77,B,USD
10541,80.92,B,CNY
10542,4.35,B,USD
10543,52.62,B,CNY
10544,70.39,B,NOK
10545,73.1,B,CNY
10546,39.77,B,CNY
10547,80.67,B,NOK
10548,13.51,B,USD
10549,9.98,B,USD
10550,64.9,B,CNY
10551,163.51,B,NOK
10552,122.94,B,NOK
10553,7.01,B,USD
10554,96.29,B,NOK
10555,20.18,B,USD
10556,56.8,B,CNY
10557,82.22,B,CNY
10558,41.5,B,NOK
10559,7.93,B,USD
10560,11.53,B,USD
10561,52.58,B,CNY
10562,11.07,B,USD
10563,114.35,B,NOK
10564,8.16,B,USD
10565,59.25,B,NOK
10566,8.93,B,USD
10567,12.43,B,USD
10568,8.98,B,USD
10569,13.07,B,USD
10570,52.34,B,CNY
10571,5.64,B,USD
10572,13.34,B,USD
10573,6.25,B,USD
10574,14.56,B,USD
10575,77.37,B,CNY
10576,13.56,B,USD
10577,12.99,B,USD
10578,5.04,B,USD
10579,16.28,B,USD
10580,64.54,B,NOK
10581,119.68,B,NOK
10582,8.83,B,USD
10583,61.71,B,CNY
10584,14.03,B,USD
10585,8.91,B,USD
10586,13.84,B,USD
10587,96.24,B,NOK
10588,5.82,B,USD
10589,59.29,B,CNY
10590,5.43,B,USD
10591,38.18,B,CNY
10592,250.42,B,NOK
10593,68.65,B,CNY
10594,8.61,B,USD
10595,81.25,B,CNY
10596,64.6,B,NOK
10597,90.22,B,CNY
10598,18.56,B,USD
10599,95.19,B,CNY
10600,7.36,B,USD
10601,20.68,B,USD
10602,27.64,B,USD
10603,123.33,B,NOK
10604,117.34,B,NOK
10605,74.81,B,CNY
10606,107.71,B,NOK
10607,3.72,B,USD
10608,9.81,B,USD
10609,67.75,B,NOK
10610,8.14,B,USD
10611,8.7,B,USD
10612,205.86,B,NOK
10613,5.56,B,USD
10614,4.01,B,USD
10615,61.57,B,CNY
10616,30.51,B,NOK
10617,162.28,B,CNY
10618,5.44,B,USD
10619,77.62,B,CNY
10620,16.03,B,USD
10621,62.59,B,NOK
10622,100.73,B,NOK
10623,7.14,B,USD
10624,15.75,B,USD
10625,12.22,B,USD
10626,8.25,B,USD
10627,10.4,B,USD
10628,10.79,B,USD
10629,12.92,B,USD
10630,5.55,B,USD
10631,10.07,B,USD
10632,63.4,B,CNY
10633,54.88,B,CNY
10634,8.96,B,USD
10635,10.4,B,USD
10636,9.18,B,USD
10637,12.88,B,USD
10638,115.09,B,NOK
10639,78.58,B,NOK
10640,9.75,B,USD
10641,40.2,B,CNY
10642,7.98,B,USD
10643,113.28,B,NOK
10644,56.44,B,NOK
10645,60.6,B,CNY
10646,69.46,B,NOK
10647,81.58,B,NOK
10648,4.89,B,USD
10649,66.26,B,CNY
10650,28.5,B,CNY
10651,53.28,B,CNY
10652,5.47,B,USD
10653,7.47,B,USD
10654,18.86,B,USD
10655,42.89,B,NOK
10656,57.4,B,NOK
10657,80.12,B,NOK
10658,6.98,B,USD
10659,10.81,B,USD
10660,9.34,B,USD
10661,58.42,B,NOK
10662,10,B,USD
10663,9.33,B,USD
10664,82.01,B,NOK
10665,6.93,B,USD
10666,80.19,B,NOK
10667,7.29,B,USD
10668,70.04,B,CNY
10669,110.68,B,NOK
10670,43.67,B,NOK
10671,99.56,B,CNY
10672,63.21,B,NOK
10673,4.12,B,USD
10674,8.8,B,USD
10675,3.42,B,USD
10676,72.25,B,CNY
10677,21.63,B,USD
10678,26.08,B,CNY
10679,9.12,B,USD
10680,12.8,B,USD
10681,35.3,B,NOK
10682,48.95,B,NOK
10683,9.64,B,USD
10684,14.77,B,USD
10685,35.07,B,CNY
10686,7.85,B,USD
10687,10.16,B,USD
10688,82.25,B,NOK
10689,14.31,B,USD
10690,5.34,B,USD
10691,43.99,B,CNY
10692,5.74,B,USD
10693,72.25,B,NOK
10694,19.82,B,USD
10695,8.91,B,USD
10696,17.85,B,USD
10697,6.88,B,USD
10698,77.3,B,NOK
10699,3.81,B,USD
10700,6.92,B,USD
10701,61.76,B,NOK
10702,9.6,B,USD
10703,126.38,B,NOK
10704,86.19,B,CNY
10705,6.04,B,USD
10706,82.76,B,NOK
10707,7.56,B,USD
10708,39.9,B,CNY
10709,123.41,B,NOK
10710,19.38,B,USD
10711,47.27,B,CNY
10712,107.98,B,CNY
10713,67.23,B,NOK
10714,9.52,B,USD
10715,8.21,B,USD
10716,12.52,B,USD
10717,76.15,B,CNY
10718,156.92,B,NOK
10719,109.3,B,NOK
10720,6.78,B,USD
10721,91.01,B,CNY
10722,8.51,B,USD
10723,139.75,B,NOK
10724,8.98,B,USD
10725,110.73,B,NOK
10726,12.57,B,USD
10727,9.29,B,USD
10728,11.64,B,USD
10729,10.52,B,USD
10730,69.52,B,NOK
10731,6.93,B,USD
10732,9.69,B,USD
10733,7.9,B,USD
10734,15.05,B,USD
10735,11.03,B,USD
10736,124.66,B,NOK
10737,82.36,B,CNY
10738,91.05,B,NOK
10739,8.34,B,USD
10740,8.02,B,USD
10741,6.28,B,USD
10742,70.11,B,NOK
10743,8.72,B,USD
10744,9.65,B,USD
10745,22.45,B,USD
10746,51.88,B,CNY
10747,91.44,B,NOK
10748,5.89,B,USD
10749,10.38,B,USD
10750,17.16,B,USD
10751,7.28,B,USD
10752,3.52,B,USD
10753,9.36,B,USD
10754,49.92,B,CNY
10755,99.17,B,CNY
10756,18.97,B,USD
10757,12.89,B,USD
10758,75.5,B,NOK
10759,71.5,B,NOK
10760,76.25,B,CNY
10761,243.08,B,NOK
10762,5.05,B,USD
10763,9.19,B,USD
10764,8.29,B,USD
10765,6.91,B,USD
10766,131.41,B,NOK
10767,10.92,B,USD
10768,6.73,B,USD
10769,39.71,B,CNY
10770,8.86,B,USD
10771,68.8,B,NOK
10772,87.72,B,CNY
10773,14.95,B,USD
10774,12.39,B,USD
10775,31.71,B,NOK
10776,65.31,B,CNY
10777,87.36,B,CNY
10778,6.1,B,USD
10779,55.65,B,CNY
10780,6,B,USD
10781,6.3,B,USD
10782,11.8,B,USD
10783,8.7,B,USD
10784,72.56,B,NOK
10785,21.6,B,USD
10786,87.1,B,NOK
10787,11.53,B,USD
10788,104.42,B,CNY
10789,91.93,B,NOK
10790,6.17,B,USD
10791,13.49,B,USD
10792,67.63,B,CNY
10793,71.78,B,NOK
10794,100.18,B,NOK
10795,74.29,B,NOK
10796,70.71,B,NOK
10797,4.95,B,USD
10798,62.58,B,NOK
10799,9.27,B,USD
10800,57.61,B,CNY
10801,6.47,B,USD
10802,12.39,B,USD
10803,120.27,B,NOK
10804,11.74,B,USD
10805,44.64,B,CNY
10806,103.26,B,CNY
10807,8.38,B,USD
10808,48.72,B,CNY
10809,7.1,B,USD
10810,102.11,B,NOK
10811,101.88,B,NOK
10812,47.65,B,CNY
10813,12.44,B,USD
10814,107.72,B,CNY
10815,27.42,B,CNY
10816,150.38,B,NOK
10817,61.9,B,CNY
10818,80.07,B,NOK
10819,69.64,B,NOK
10820,51.56,B,NOK
10821,75.4,B,CNY
10822,89.57,B,NOK
10823,6.21,B,USD
10824,219.9,B,NOK
10825,9.45,B,USD
10826,9.27,B,USD
10827,6.85,B,USD
10828,20.55,B,NOK
10829,83.22,B,NOK
10830,62.84,B,CNY
10831,54.22,B,NOK
10832,116.51,B,NOK
10833,74.96,B,CNY
10834,70.31,B,NOK
10835,48.28,B,NOK
10836,56.04,B,CNY
10837,8.77,B,USD
10838,9.35,B,USD
10839,78.48,B,NOK
10840,17.87,B,USD
10841,69.3,B,NOK
10842,6.46,B,USD
10843,11,B,USD
10844,55.4,B,CNY
10845,38.79,B,CNY
10846,43.06,B,CNY
10847,11.23,B,USD
10848,5.69,B,USD
10849,10.47,B,USD
10850,11.93,B,USD
10851,100.19,B,NOK
10852,89.41,B,NOK
10853,142.42,B,CNY
10854,102.27,B,CNY
10855,9.16,B,USD
10856,6.54,B,USD
10857,9.23,B,USD
10858,73.76,B,NOK
10859,104.34,B,CNY
10860,40.81,B,NOK
10861,6.02,B,USD
10862,6.52,B,USD
10863,37.96,B,CNY
10864,84.18,B,NOK
10865,59.29,B,CNY
10866,135.45,B,NOK
10867,76.46,B,CNY
10868,83.93,B,CNY
10869,117,B,NOK
10870,9.63,B,USD
10871,84.25,B,NOK
10872,15.14,B,USD
10873,60.9,B,NOK
10874,85.59,B,CNY
10875,45.28,B,NOK
10876,8.05,B,USD
10877,5.92,B,USD
10878,8.33,B,USD
10879,4.89,B,USD
10880,141.5,B,NOK
10881,12.22,B,USD
10882,69.2,B,CNY
10883,47.17,B,CNY
10884,3.83,B,USD
10885,8.14,B,USD
10886,135.57,B,NOK
10887,31.51,B,CNY
10888,12.18,B,USD
10889,88.34,B,CNY
10890,5.92,B,USD
10891,8.23,B,USD
10892,48.7,B,NOK
10893,99.81,B,NOK
10894,10.66,B,USD
10895,55.59,B,NOK
10896,22.35,B,USD
10897,10.11,B,USD
10898,8.53,B,USD
10899,9.68,B,USD
10900,56.33,B,CNY
10901,15.2,B,USD
10902,55.9,B,NOK
10903,99.51,B,NOK
10904,10.39,B,USD
10905,5.72,B,USD
10906,50.01,B,CNY
10907,15.05,B,USD
10908,86.54,B,CNY
10909,72.56,B,CNY
10910,46.18,B,CNY
10911,14.68,B,USD
10912,26.35,B,CNY
10913,55.57,B,NOK
10914,73.52,B,CNY
10915,9.45,B,USD
10916,113.48,B,NOK
10917,14.07,B,USD
10918,41.41,B,CNY
10919,6.74,B,USD
10920,7.92,B,USD
10921,11.53,B,USD
10922,96.02,B,CNY
10923,7.31,B,USD
10924,111.95,B,NOK
10925,109.49,B,CNY
10926,7.26,B,USD
10927,109.71,B,NOK
10928,34.3,B,CNY
10929,45.36,B,CNY
10930,62.26,B,CNY
10931,60.69,B,NOK
10932,85.03,B,CNY
10933,4.53,B,USD
10934,5.87,B,USD
10935,36.1,B,NOK
10936,8.97,B,USD
10937,60.6,B,CNY
10938,54.89,B,NOK
10939,87.4,B,CNY
10940,7.05,B,USD
10941,5.76,B,USD
10942,7.39,B,USD
10943,14.54,B,USD
10944,10.75,B,USD
10945,97,B,NOK
10946,119.64,B,NOK
10947,31.27,B,CNY
10948,8.88,B,USD
10949,8.55,B,USD
10950,10.61,B,USD
10951,81.28,B,NOK
10952,94.37,B,NOK
10953,80.27,B,NOK
10954,18.72,B,USD
10955,22.01,B,CNY
10956,11.81,B,USD
10957,106.49,B,CNY
10958,75.11,B,CNY
10959,50.75,B,NOK
10960,100.95,B,NOK
10961,113.67,B,NOK
10962,7.93,B,USD
10963,58.71,B,CNY
10964,32.82,B,NOK
10965,10.67,B,USD
10966,16.33,B,USD
10967,13.87,B,USD
10968,74.62,B,NOK
10969,117.94,B,NOK
10970,10.21,B,USD
10971,7.41,B,USD
10972,89.07,B,NOK
10973,53.16,B,CNY
10974,14.41,B,USD
10975,61.84,B,CNY
10976,4.41,B,USD
10977,6.13,B,USD
10978,3.98,B,USD
10979,8.46,B,USD
10980,81.77,B,NOK
10981,12.87,B,USD
10982,78.6,B,CNY
10983,5.88,B,USD
10984,5.46,B,USD
10985,13.76,B,USD
10986,9.73,B,USD
10987,16.16,B,USD
10988,76.04,B,NOK
10989,5.69,B,USD
10990,4.08,B,USD
10991,8.97,B,USD
10992,88.51,B,CNY
10993,13.11,B,USD
10994,5.89,B,USD
10995,10.12,B,USD
10996,61.63,B,NOK
10997,7.96,B,USD
10998,92.5,B,CNY
10999,73.14,B,NOK
11000,51.07,B,CNY
11001,54.32,B,CNY
11002,61.54,B,CNY
11003,12.69,B,USD
11004,9.36,B,USD
11005,49.66,B,NOK
11006,29.22,B,CNY
11007,7.4,B,USD
11008,6.29,B,USD
11009,92.29,B,CNY
11010,94.97,B,NOK
11011,15.38,B,USD
11012,11.55,B,USD
11013,15.71,B,USD
11014,9.1,B,USD
11015,31.14,B,NOK
11016,75.99,B,NOK
11017,85.81,B,CNY
11018,58.97,B,CNY
11019,120.11,B,NOK
11020,64.21,B,CNY
11021,7.73,B,USD
11022,138.28,B,CNY
11023,94.5,B,NOK
11024,33.15,B,CNY
11025,12.64,B,USD
11026,44.01,B,CNY
11027,12.07,B,USD
11028,12.49,B,USD
11029,8.86,B,USD
11030,68.96,B,CNY
11031,10.01,B,USD
11032,120.19,B,NOK
11033,83.44,B,NOK
11034,54.66,B,NOK
11035,81.81,B,NOK
11036,5.79,B,USD
11037,7.39,B,USD
11038,10.1,B,USD
11039,138.16,B,CNY
11040,10.16,B,USD
11041,10.85,B,USD
11042,5.62,B,USD
11043,22.84,B,USD
11044,9.61,B,USD
11045,55.34,B,CNY
11046,8.05,B,USD
11047,10.49,B,USD
11048,4.25,B,USD
11049,8.72,B,USD
11050,72.41,B,CNY
11051,13.86,B,USD
11052,9.26,B,USD
11053,93.32,B,NOK
11054,53.41,B,NOK
11055,85.42,B,NOK
11056,49.55,B,NOK
11057,77.64,B,CNY
11058,66.62,B,CNY
11059,44.15,B,CNY
11060,16.25,B,USD
11061,92.93,B,CNY
11062,89.67,B,CNY
11063,5.02,B,USD
11064,84.28,B,NOK
11065,11.63,B,USD
11066,6.48,B,USD
11067,7.52,B,USD
11068,7.58,B,USD
11069,14.07,B,USD
11070,14.71,B,USD
11071,18.21,B,USD
11072,83.56,B,CNY
11073,5.15,B,USD
11074,38.43,B,CNY
11075,21.29,B,USD
11076,58.39,B,NOK
11077,126.3,B,NOK
11078,106.51,B,NOK
11079,15.07,B,USD
11080,38.57,B,CNY
11081,5.91,B,USD
11082,11.46,B,USD
11083,9.63,B,USD
11084,111.58,B,NOK
11085,4.22,B,USD
11086,13.31,B,USD
11087,10.32,B,USD
11088,10.87,B,USD
11089,8.32,B,USD
11090,157.46,B,NOK
11091,103.37,B,NOK
11092,61.66,B,CNY
11093,7.99,B,USD
11094,76.38,B,NOK
11095,64.43,B,CNY
11096,15.73,B,USD
11097,90.68,B,NOK
11098,7.98,B,USD
11099,8.67,B,USD
11100,10.69,B,USD
11101,12.61,B,USD
11102,6.86,B,USD
11103,14,B,USD
11104,13.05,B,USD
11105,67.56,B,CNY
11106,53.69,B,NOK
11107,40.28,B,CNY
11108,5.97,B,USD
11109,62.78,B,NOK
11110,3.82,B,USD
11111,9.07,B,USD
11112,47.42,B,NOK
11113,106.12,B,NOK
11114,64.73,B,NOK
11115,8.97,B,USD
11116,46.9,B,CNY
11117,38.42,B,CNY
11118,5.74,B,USD
