ID,total_incurred_loss,risk_type,currency
371,54.1,A,CNY
372,10.8,A,USD
373,8.2,A,USD
374,8.7,A,EUR
375,49.7,A,CNY
376,67.7,A,CNY
377,59.8,A,CNY
378,9.6,A,EUR
379,11.5,A,USD
380,10.5,A,USD
381,9.2,A,USD
382,9.8,A,USD
383,11.1,A,USD
384,73.3,A,CNY
385,11.1,A,EUR
386,62.2,A,CNY
387,80.2,A,CNY
388,6,A,EUR
389,8.8,A,EUR
390,90.2,A,CNY
391,12.2,A,USD
392,56.1,A,CNY
393,8.5,A,USD
394,84.9,A,CNY
395,11.3,A,USD
396,79.1,A,CNY
397,11.5,A,USD
398,10.2,A,USD
399,9.2,A,USD
400,8.6,A,USD
401,9.9,A,USD
402,12,A,USD
403,70.4,A,CNY
404,10,A,USD
405,11,A,USD
406,9,A,EUR
407,10.4,A,USD
408,11.5,A,USD
409,9.4,A,USD
410,10.9,A,EUR
411,11.2,A,USD
412,12.6,A,USD
413,9,A,EUR
414,7.7,A,USD
415,9.2,A,USD
416,11.4,A,USD
417,49.5,A,CNY
418,9.1,A,EUR
419,12.6,A,EUR
420,76.7,A,CNY
421,7.9,A,USD
422,72.7,A,CNY
423,69.9,A,CNY
424,10.2,A,EUR
425,10.2,A,USD
426,55.6,A,CNY
427,10.4,A,USD
428,67.8,A,CNY
429,12.1,A,USD
430,10.9,A,USD
431,9.7,A,USD
432,11.2,A,USD
433,8.9,A,USD
434,83,A,CNY
435,66.5,A,CNY
436,70.2,A,CNY
437,9.5,A,EUR
438,59,A,CNY
439,9.3,A,EUR
440,8.8,A,USD
441,64.9,A,CNY
442,7.9,A,USD
443,10,A,USD
444,8.4,A,USD
445,11,A,USD
446,8.5,A,USD
447,10.8,A,USD
448,9.5,A,USD
449,9.5,A,USD
450,10.4,A,USD
451,9.8,A,EUR
452,10.2,A,USD
453,11.3,A,EUR
454,80.6,A,CNY
455,9.1,A,EUR
456,68.4,A,CNY
457,9.9,A,USD
458,8.5,A,USD
459,66.6,A,CNY
460,10.1,A,USD
461,10.8,A,USD
462,9.8,A,USD
463,11.3,A,USD
464,9.8,A,EUR
465,10.9,A,EUR
466,9,A,EUR
467,39.1,A,CNY
468,8.3,A,USD
469,10.4,A,USD
470,63.4,A,CNY
471,49.3,A,CNY
472,9.4,A,EUR
473,66.1,A,CNY
474,14,A,USD
475,11.7,A,USD
476,10,A,EUR
477,61.7,A,CNY
478,11.7,A,USD
479,8.7,A,USD
480,9,A,USD
481,59.7,A,CNY
482,7.3,A,EUR
483,9.9,A,USD
484,11.2,A,USD
485,9.7,A,USD
486,8.4,A,EUR
487,8.1,A,EUR
488,50.8,A,CNY
489,62.6,A,CNY
490,10.6,A,USD
491,9.9,A,USD
492,12.5,A,USD
493,8.3,A,EUR
494,9.8,A,USD
495,9.1,A,EUR
496,7.3,A,USD
497,10,A,USD
498,75,A,CNY
499,8.8,A,EUR
500,10.6,A,USD
501,12.6,A,USD
502,10.9,A,USD
503,8.4,A,USD
504,9.2,A,EUR
505,8.7,A,EUR
506,11.1,A,USD
507,12,A,USD
508,9.7,A,USD
509,7,A,EUR
510,8.5,A,EUR
511,12.9,A,USD
512,10.4,A,EUR
513,11.5,A,USD
514,8.3,A,EUR
515,5.6,A,USD
516,10.1,A,USD
517,8.3,A,USD
518,72.9,A,CNY
519,9.8,A,EUR
520,73.1,A,CNY
521,12.2,A,USD
522,7.9,A,EUR
523,9.1,A,EUR
524,54.8,A,CNY
525,12.6,A,USD
526,8.6,A,USD
527,76.8,A,CNY
528,11.8,A,USD
529,8.8,A,USD
530,58.4,A,CNY
531,9.7,A,USD
532,7.8,A,USD
533,9.7,A,USD
534,10.5,A,USD
535,66.8,A,CNY
536,11.8,A,USD
537,11.8,A,USD
538,10.2,A,USD
539,11.6,A,USD
540,7.7,A,USD
541,59.4,A,CNY
542,9.2,A,USD
543,66.1,A,CNY
544,9.1,A,EUR
545,66.1,A,CNY
546,85.3,A,CNY
547,10.5,A,EUR
548,10.3,A,USD
549,10.1,A,USD
550,50.6,A,CNY
551,9.2,A,EUR
552,6,A,EUR
553,10.2,A,USD
554,8.9,A,EUR
555,8.7,A,USD
556,59.7,A,CNY
557,64.3,A,CNY
558,7.1,A,EUR
559,9.6,A,USD
560,7.3,A,USD
561,77.5,A,CNY
562,10.1,A,USD
563,9.2,A,EUR
564,8.6,A,USD
565,10.5,A,EUR
566,10.3,A,USD
567,9.5,A,USD
568,10.1,A,USD
569,10.3,A,USD
570,73.1,A,CNY
571,10.7,A,USD
572,7.6,A,USD
573,8.7,A,USD
574,9.3,A,USD
575,54.4,A,CNY
576,10.1,A,USD
577,8.5,A,USD
578,9.7,A,USD
579,9.4,A,USD
580,7.4,A,EUR
581,8.3,A,EUR
582,9.2,A,USD
583,86.4,A,CNY
584,9.6,A,USD
585,9.4,A,USD
586,7.7,A,USD
587,7.6,A,EUR
588,12.1,A,USD
589,55.1,A,CNY
590,13.4,A,USD
591,58.5,A,CNY
592,10.3,A,EUR
593,68.9,A,CNY
594,10.1,A,USD
595,87.5,A,CNY
596,6.8,A,EUR
597,58.1,A,CNY
598,9.2,A,USD
599,61.3,A,CNY
600,10.7,A,USD
601,8.9,A,USD
602,11.1,A,USD
603,9.8,A,EUR
604,10.3,A,EUR
605,55.2,A,CNY
606,10.5,A,EUR
607,8.6,A,USD
608,7.4,A,USD
609,11.7,A,EUR
610,9.5,A,USD
611,7.9,A,USD
612,6.8,A,EUR
613,9.1,A,USD
614,8.2,A,USD
615,75,A,CNY
616,10.1,A,EUR
617,63,A,CNY
618,11.9,A,USD
619,63.6,A,CNY
620,8.5,A,USD
621,8.3,A,EUR
622,7.7,A,EUR
623,11.7,A,USD
624,9.4,A,USD
625,9.6,A,USD
626,13.6,A,USD
627,11,A,USD
628,9.3,A,USD
629,11.1,A,USD
630,11.8,A,USD
631,9.4,A,USD
632,67.4,A,CNY
633,75.5,A,CNY
634,11.3,A,USD
635,11.3,A,USD
636,12.3,A,USD
637,11.9,A,USD
638,7.6,A,EUR
639,5.7,A,EUR
640,10.8,A,USD
641,71.9,A,CNY
642,10.8,A,USD
643,8.8,A,EUR
644,7.8,A,EUR
645,57.3,A,CNY
646,9.9,A,EUR
647,8.1,A,EUR
648,11.2,A,USD
649,70.4,A,CNY
650,53.5,A,CNY
651,65.1,A,CNY
652,8.8,A,USD
653,10,A,USD
654,9.3,A,USD
655,9.9,A,EUR
656,9.8,A,EUR
657,6.1,A,EUR
658,10.8,A,USD
659,10.1,A,USD
660,8.9,A,USD
661,9,A,EUR
662,9.7,A,USD
663,8,A,USD
664,10.3,A,EUR
665,11.9,A,USD
666,8.2,A,EUR
667,11.4,A,USD
668,67.8,A,CNY
669,8.8,A,EUR
670,8.5,A,EUR
671,64,A,CNY
672,9.1,A,EUR
673,8.7,A,USD
674,9.3,A,USD
675,11.7,A,USD
676,61.4,A,CNY
677,9.8,A,USD
678,60.1,A,CNY
679,9.9,A,USD
680,12,A,USD
681,7.8,A,EUR
682,8.2,A,EUR
683,8.8,A,USD
684,11.8,A,USD
685,88.4,A,CNY
686,10.9,A,USD
687,10,A,USD
688,9.4,A,EUR
689,11.1,A,USD
690,8.3,A,USD
691,76.3,A,CNY
692,12.9,A,USD
693,9.2,A,EUR
694,9.4,A,USD
695,8,A,USD
696,12.2,A,USD
697,13.5,A,USD
698,8,A,EUR
699,9.1,A,USD
700,8.9,A,USD
701,6.6,A,EUR
702,12.5,A,USD
703,8.6,A,EUR
704,74.3,A,CNY
705,11.2,A,USD
706,10.6,A,EUR
707,10.6,A,USD
708,50.8,A,CNY
709,7.3,A,EUR
710,10.4,A,USD
711,64.1,A,CNY
712,61.4,A,CNY
713,10.9,A,EUR
714,8.8,A,USD
715,10.2,A,USD
716,7.8,A,USD
717,58.1,A,CNY
718,9.2,A,EUR
719,8.8,A,EUR
720,10,A,USD
721,67.2,A,CNY
722,7.1,A,USD
723,9.9,A,EUR
724,10.5,A,USD
725,10.4,A,EUR
726,9.8,A,USD
727,7,A,USD
728,10.4,A,USD
729,8.7,A,USD
730,10.2,A,EUR
731,8.8,A,USD
732,10.6,A,USD
733,11.4,A,USD
734,10.2,A,USD
735,10.9,A,USD
736,8.8,A,EUR
737,60.3,A,CNY
738,9.4,A,EUR
739,10.6,A,USD
740,9.6,A,USD
741,8.9,A,USD
742,7.9,A,EUR
743,11.6,A,USD
744,12.2,A,USD
745,10.9,A,USD
746,61.7,A,CNY
747,9.7,A,EUR
748,11.8,A,USD
749,11.1,A,USD
750,13.1,A,USD
751,11.9,A,USD
752,9.5,A,USD
753,7.2,A,USD
754,51.7,A,CNY
755,70.2,A,CNY
756,8.1,A,USD
757,11.7,A,USD
758,10.1,A,EUR
759,8.6,A,EUR
760,68.3,A,CNY
761,10.1,A,EUR
762,11.9,A,USD
763,8.6,A,USD
764,8.8,A,USD
765,10.5,A,USD
766,8.4,A,EUR
767,10.7,A,USD
768,9,A,USD
769,56.1,A,CNY
770,9.3,A,USD
771,7.4,A,EUR
772,93.6,A,CNY
773,9.7,A,USD
774,9.5,A,USD
775,11.2,A,EUR
776,64.8,A,CNY
777,45.8,A,CNY
778,11.4,A,USD
779,69.3,A,CNY
780,10.5,A,USD
781,8.6,A,USD
782,10.9,A,USD
783,6.9,A,USD
784,9,A,EUR
785,11.6,A,USD
786,7.4,A,EUR
787,10.8,A,USD
788,61.6,A,CNY
789,9.7,A,EUR
790,10.8,A,USD
791,10.1,A,USD
792,88.4,A,CNY
793,8,A,EUR
794,9.5,A,EUR
795,9.1,A,EUR
796,7,A,EUR
797,9.7,A,USD
798,7.5,A,EUR
799,9.1,A,USD
800,79.9,A,CNY
801,12.1,A,USD
802,9.6,A,USD
803,7.2,A,EUR
804,8,A,USD
805,71.1,A,CNY
806,68.1,A,CNY
807,10.8,A,USD
808,61.4,A,CNY
809,12.4,A,USD
810,11.1,A,EUR
811,7.7,A,EUR
812,75,A,CNY
813,8.1,A,USD
814,61.4,A,CNY
815,77.3,A,CNY
816,8.9,A,EUR
817,72.3,A,CNY
818,8.7,A,EUR
819,10.4,A,EUR
820,8.3,A,EUR
821,71.9,A,CNY
822,8.1,A,EUR
823,11.3,A,USD
824,9.4,A,EUR
825,10.1,A,USD
826,10.9,A,USD
827,9.8,A,USD
828,8.7,A,EUR
829,9.8,A,EUR
830,61.1,A,CNY
831,9,A,EUR
832,9.8,A,EUR
833,59.3,A,CNY
834,9.7,A,EUR
835,8.1,A,EUR
836,60.8,A,CNY
837,9.1,A,USD
838,9.3,A,USD
839,7.5,A,EUR
840,8.9,A,USD
841,9.1,A,EUR
842,10.5,A,USD
843,9.4,A,USD
844,53.3,A,CNY
845,60.1,A,CNY
846,71.9,A,CNY
847,12.1,A,USD
848,9.6,A,USD
849,7.1,A,USD
850,10.7,A,USD
851,7.5,A,EUR
852,9.3,A,EUR
853,63.2,A,CNY
854,45.3,A,CNY
855,11.7,A,USD
856,11.6,A,USD
857,9.1,A,USD
858,9.7,A,EUR
859,79.3,A,CNY
860,7.5,A,EUR
861,11.7,A,USD
862,7.9,A,USD
863,56.7,A,CNY
864,8.7,A,EUR
865,60.1,A,CNY
866,6.5,A,EUR
867,53.2,A,CNY
868,61.3,A,CNY
869,11.2,A,EUR
870,9.2,A,USD
871,12.8,A,EUR
872,10,A,USD
873,10.9,A,EUR
874,69.5,A,CNY
875,6.7,A,EUR
876,11.5,A,USD
877,11,A,USD
878,10.1,A,USD
879,7.6,A,USD
880,8.9,A,EUR
881,8.4,A,USD
882,64.1,A,CNY
883,67.2,A,CNY
884,8.8,A,USD
885,9.9,A,USD
886,10.2,A,EUR
887,80.9,A,CNY
888,11.5,A,USD
889,59.9,A,CNY
890,12.3,A,USD
891,10,A,USD
892,8.4,A,EUR
893,6.6,A,EUR
894,12.1,A,USD
895,9.3,A,EUR
896,10.8,A,USD
897,11.3,A,USD
898,8.8,A,USD
899,10.4,A,USD
900,63.5,A,CNY
901,10.5,A,USD
902,8.7,A,EUR
903,10.5,A,EUR
904,9.4,A,USD
905,8.9,A,USD
906,63.6,A,CNY
907,8.9,A,USD
908,69.1,A,CNY
909,60.2,A,CNY
910,66.5,A,CNY
911,10.5,A,USD
912,70,A,CNY
913,10.6,A,EUR
914,85,A,CNY
915,9.3,A,USD
916,8.5,A,EUR
917,9.4,A,USD
918,74.2,A,CNY
919,10.2,A,USD
920,10.5,A,USD
921,7.9,A,USD
922,67.1,A,CNY
923,12.2,A,USD
924,10.5,A,EUR
925,65.5,A,CNY
926,9,A,USD
927,10.2,A,EUR
928,65.9,A,CNY
929,74.4,A,CNY
930,72.2,A,CNY
931,8.3,A,EUR
932,70.2,A,CNY
933,11.4,A,USD
934,12.2,A,USD
935,10,A,EUR
936,9.8,A,USD
937,66.6,A,CNY
938,6.7,A,EUR
939,44.6,A,CNY
940,11.5,A,USD
941,11.1,A,USD
942,10.4,A,USD
943,11.8,A,USD
944,8.9,A,USD
945,10.9,A,EUR
946,10.5,A,EUR
947,73.7,A,CNY
948,12.8,A,USD
949,11.9,A,USD
950,8.3,A,USD
951,10.2,A,EUR
952,8.5,A,EUR
953,6.9,A,EUR
954,7.9,A,USD
955,66.5,A,CNY
956,11,A,USD
957,48.6,A,CNY
958,57.8,A,CNY
959,9.1,A,EUR
960,8.7,A,EUR
961,7.4,A,EUR
962,9.6,A,USD
963,64.5,A,CNY
964,10.1,A,EUR
965,9.1,A,USD
966,12.5,A,USD
967,9.5,A,USD
968,8.1,A,EUR
969,9.9,A,EUR
970,8.2,A,USD
971,10.9,A,USD
972,8.7,A,EUR
973,68.4,A,CNY
974,10.7,A,USD
975,83.1,A,CNY
976,9.4,A,USD
977,10,A,USD
978,9.9,A,USD
979,12.5,A,USD
980,9.2,A,EUR
981,9.7,A,USD
982,63.2,A,CNY
983,8.3,A,USD
984,11.7,A,USD
985,5.7,A,USD
986,12.3,A,USD
987,9.9,A,USD
988,9.1,A,EUR
989,10,A,USD
990,9.6,A,USD
991,12,A,USD
992,54.4,A,CNY
993,8.3,A,USD
994,12.3,A,USD
995,10.5,A,USD
996,8.7,A,EUR
997,11.8,A,USD
998,78.1,A,CNY
999,11.1,A,EUR
1000,71.3,A,CNY
1001,54.7,A,CNY
1002,76.4,A,CNY
1003,9.8,A,USD
1004,10.1,A,USD
1005,9.9,A,EUR
1006,63.9,A,CNY
1007,12.7,A,USD
1008,11.7,A,USD
1009,62.3,A,CNY
1010,9.6,A,EUR
1011,9.8,A,USD
1012,7.9,A,USD
1013,12.6,A,USD
1014,11.8,A,USD
1015,9.3,A,EUR
1016,9.3,A,EUR
1017,60.6,A,CNY
1018,69.7,A,CNY
1019,10.2,A,EUR
1020,63.2,A,CNY
1021,11.9,A,USD
1022,79.9,A,CNY
1023,10.5,A,EUR
1024,74.3,A,CNY
1025,10.7,A,USD
1026,77,A,CNY
1027,7.1,A,USD
1028,12.6,A,USD
1029,11.8,A,USD
1030,64.8,A,CNY
1031,10.2,A,USD
1032,8.1,A,EUR
1033,8.2,A,EUR
1034,11,A,EUR
1035,9.9,A,EUR
1036,8.3,A,USD
1037,8.6,A,USD
1038,10,A,USD
1039,70.6,A,CNY
1040,10,A,USD
1041,11.4,A,USD
1042,8.4,A,USD
1043,12.4,A,USD
1044,10,A,USD
1045,33.8,A,CNY
1046,11.4,A,USD
1047,8.3,A,USD
1048,10.1,A,USD
1049,12.2,A,USD
1050,53.6,A,CNY
1051,8.6,A,USD
1052,11.1,A,USD
1053,7.7,A,EUR
1054,9.3,A,EUR
1055,9,A,EUR
1056,7.4,A,EUR
1057,58.8,A,CNY
1058,76.7,A,CNY
1059,81.8,A,CNY
1060,10.9,A,USD
1061,79.7,A,CNY
1062,60,A,CNY
1063,9.8,A,USD
1064,6.6,A,EUR
1065,9.3,A,USD
1066,10.3,A,USD
1067,8.2,A,USD
1068,10,A,USD
1069,10.1,A,USD
1070,10.5,A,USD
1071,8.7,A,USD
1072,76.7,A,CNY
1073,10.4,A,USD
1074,71.3,A,CNY
1075,10.5,A,USD
1076,10.1,A,EUR
1077,7.1,A,EUR
1078,8.7,A,EUR
1079,6.5,A,USD
1080,82.1,A,CNY
1081,10.1,A,USD
1082,9.2,A,USD
1083,13.1,A,USD
1084,7.2,A,EUR
1085,12.6,A,USD
1086,8.3,A,USD
1087,12.1,A,USD
1088,8.3,A,USD
1089,10.5,A,USD
1090,10.3,A,EUR
1091,8.7,A,EUR
1092,52.3,A,CNY
1093,11,A,USD
1094,8.9,A,EUR
1095,76.3,A,CNY
1096,10.5,A,USD
1097,6.9,A,EUR
1098,9.4,A,USD
1099,11.4,A,USD
1100,8.7,A,USD
1101,11.6,A,USD
1102,6.5,A,USD
1103,8.1,A,USD
1104,10.6,A,USD
1105,75.8,A,CNY
1106,12.5,A,EUR
1107,67.2,A,CNY
1108,11.9,A,USD
1109,8.8,A,EUR
1110,9.7,A,USD
1111,10.7,A,USD
1112,8.2,A,EUR
1113,6.8,A,EUR
1114,8.3,A,EUR
1115,10.9,A,USD
1116,75.7,A,CNY
1117,56.8,A,CNY
1118,10,A,USD
1119,6.2,A,USD
1120,9,A,EUR
1121,12.1,A,USD
1122,10.6,A,USD
1123,11.3,A,USD
1124,10.3,A,EUR
1125,10.6,A,USD
1126,9.7,A,USD
1127,81.1,A,CNY
1128,9.4,A,USD
1129,8.7,A,EUR
1130,8.9,A,EUR
1131,62.5,A,CNY
1132,9.5,A,USD
1133,9.4,A,USD
1134,65.2,A,CNY
1135,11.1,A,USD
1136,10,A,USD
1137,7.7,A,EUR
1138,8.7,A,EUR
1139,7.5,A,USD
1140,10.5,A,EUR
1141,10.6,A,USD
1142,66.5,A,CNY
1143,71.1,A,CNY
1144,78.1,A,CNY
1145,7.3,A,USD
1146,71.4,A,CNY
1147,78.4,A,CNY
1148,8.7,A,EUR
1149,9,A,EUR
1150,75.4,A,CNY
1151,10.8,A,EUR
1152,85.4,A,CNY
1153,8.7,A,USD
1154,73.9,A,CNY
1155,9.2,A,USD
1156,8.7,A,USD
1157,9.8,A,USD
1158,7.5,A,EUR
1159,74.5,A,CNY
1160,8.6,A,EUR
1161,11,A,USD
1162,9.5,A,USD
1163,12.8,A,EUR
1164,9.9,A,USD
1165,10.3,A,EUR
1166,11.4,A,USD
1167,8.2,A,EUR
1168,10.1,A,USD
1169,79,A,CNY
1170,11.3,A,EUR
1171,62.2,A,CNY
1172,62.8,A,CNY
1173,7.8,A,USD
1174,9.3,A,USD
1175,82.1,A,CNY
1176,8.8,A,EUR
1177,8.8,A,EUR
1178,12.8,A,USD
1179,11.1,A,USD
1180,9.7,A,USD
1181,11.6,A,USD
1182,10.6,A,USD
1183,10.1,A,EUR
1184,8.5,A,USD
1185,66.4,A,CNY
1186,52.8,A,CNY
1187,10.3,A,USD
1188,72,A,CNY
1189,11.1,A,USD
1190,69.4,A,CNY
1191,11.2,A,USD
1192,9.8,A,USD
1193,7.7,A,USD
1194,9.6,A,EUR
1195,83.3,A,CNY
1196,11.4,A,EUR
1197,8.3,A,EUR
1198,10.8,A,USD
1199,68.4,A,CNY
1200,12.3,A,USD
1201,70.6,A,CNY
1202,71.7,A,CNY
1203,10.8,A,USD
1204,77.3,A,CNY
1205,9.9,A,EUR
1206,8.7,A,USD
1207,9.8,A,USD
1208,62,A,CNY
1209,9.5,A,EUR
1210,10.4,A,EUR
1211,10.6,A,USD
1212,8.2,A,EUR
1213,8.6,A,USD
