ID,premium,risk_type,total_incurred_loss
259,10.26,A,6.48
260,15.0,A,10.1
261,524.28,A,569.84
262,618.8,A,355.64
263,10.17,A,6.93
264,576.64,A,563.04
265,10.9,A,10.0
266,10.53,A,7.56
267,11.07,A,8.73
268,11.9,A,9.6
269,14.5,A,9.3
270,602.48,A,503.88
271,15.3,A,8.6
272,10.8,A,9.36
273,10.26,A,7.65
274,11.7,A,10.44
275,10.9,A,10.2
276,10.9,A,12.1
277,12.2,A,10.3
278,10.53,A,9.09
279,12.8,A,11.3
280,11.5,A,10.1
281,7.92,A,9.45
282,595.68,A,381.48
283,13.6,A,11.4
284,579.36,A,452.2
285,12.3,A,8.5
286,698.36,A,391.0
287,12.7,A,9.3
288,588.88,A,546.04
289,611.32,A,493.0
290,10.08,A,7.2
291,534.48,A,497.08
292,13.3,A,8.4
293,657.56,A,416.16
294,13.1,A,11.0
295,14.1,A,11.0
296,644.64,A,415.48
297,15.8,A,9.2
298,12.0,A,10.7
299,660.28,A,496.4
300,14.0,A,10.8
301,12.4,A,10.0
302,11.07,A,8.1
303,14.1,A,10.5
304,13.3,A,12.2
305,13.2,A,11.9
306,611.32,A,525.64
307,10.8,A,8.73
308,13.2,A,9.2
309,12.7,A,10.3
310,10.8,A,7.56
311,541.96,A,353.6
312,13.1,A,11.8
313,612.68,A,453.56
314,11.7,A,7.56
315,562.36,A,435.88
316,14.7,A,9.1
317,563.04,A,377.4
318,14.7,A,10.7
319,9.81,A,8.1
320,592.28,A,538.56
321,9.45,A,8.82
322,17.1,A,11.2
323,13.3,A,11.5
324,13.2,A,9.1
325,673.2,A,583.44
326,13.3,A,12.0
327,8.82,A,8.64
328,14.3,A,11.0
329,15.3,A,9.1
330,11.34,A,9.27
331,13.1,A,7.5
332,14.1,A,9.8
333,13.9,A,7.5
334,13.1,A,8.9
335,13.9,A,11.3
336,12.6,A,7.3
337,12.9,A,9.9
338,13.8,A,14.5
339,12.5,A,10.6
340,13.3,A,11.7
341,13.3,A,9.8
342,516.12,A,420.24
343,660.96,A,411.4
344,9.18,A,6.12
345,9.81,A,6.21
346,9.63,A,8.46
347,12.7,A,7.9
348,9.9,A,8.1
349,12.1,A,9.6
350,595.68,A,501.16
351,13.5,A,8.6
352,686.12,A,377.4
353,9.36,A,5.94
354,10.71,A,7.56
355,14.4,A,10.4
356,10.44,A,5.85
357,13.6,A,8.8
358,10.35,A,8.28
359,14.7,A,11.1
360,510.68,A,496.4
361,13.2,A,12.4
362,584.12,A,425.0
363,10.98,A,10.17
364,12.6,A,9.7
365,611.32,A,483.48
366,12.6,A,11.6
367,12.6,A,8.6
368,12.8,A,10.1
369,11.52,A,9.72
370,9.27,A,7.74
371,592.96,A,367.88
372,13.7,A,10.8
373,13.6,A,8.2
374,10.89,A,7.83
375,624.24,A,337.96
376,536.52,A,460.36
377,643.28,A,406.64
378,8.73,A,8.64
379,12.5,A,11.5
380,12.8,A,10.5
381,11.5,A,9.2
382,12.0,A,9.8
383,11.6,A,11.1
384,554.88,A,498.44
385,10.53,A,9.99
386,536.52,A,422.96
387,620.84,A,545.36
388,9.72,A,5.4
389,9.18,A,7.92
390,710.6,A,613.36
391,12.9,A,12.2
392,614.04,A,381.48
393,11.4,A,8.5
394,579.36,A,577.32
395,13.8,A,11.3
396,565.08,A,537.88
397,12.3,A,11.5
398,12.4,A,10.2
399,12.8,A,9.2
400,12.4,A,8.6
401,13.2,A,9.9
402,13.4,A,12.0
403,585.48,A,478.72
404,12.4,A,10.0
405,12.4,A,11.0
406,11.79,A,8.1
407,12.5,A,10.4
408,11.5,A,11.5
409,14.9,A,9.4
410,10.08,A,9.81
411,12.5,A,11.2
412,13.7,A,12.6
413,10.17,A,8.1
414,14.6,A,7.7
415,10.8,A,9.2
416,11.9,A,11.4
417,601.8,A,336.6
418,10.62,A,8.19
419,10.98,A,11.34
420,607.92,A,521.56
421,13.6,A,7.9
422,549.44,A,494.36
423,588.2,A,475.32
424,11.34,A,9.18
425,13.8,A,10.2
426,533.8,A,378.08
427,13.4,A,10.4
428,673.88,A,461.04
429,14.1,A,12.1
430,9.2,A,10.9
431,12.1,A,9.7
432,12.1,A,11.2
433,13.4,A,8.9
434,599.08,A,564.4
435,641.92,A,452.2
436,675.92,A,477.36
437,11.25,A,8.55
438,658.24,A,401.2
439,10.26,A,8.37
440,12.8,A,8.8
441,481.44,A,441.32
442,14.6,A,7.9
443,11.6,A,10.0
444,14.3,A,8.4
445,13.9,A,11.0
446,12.1,A,8.5
447,11.5,A,10.8
448,10.9,A,9.5
449,13.1,A,9.5
450,11.6,A,10.4
451,9.99,A,8.82
452,13.2,A,10.2
453,10.71,A,10.17
454,584.12,A,548.08
455,9.9,A,8.19
456,588.88,A,465.12
457,14.6,A,9.9
458,15.5,A,8.5
459,604.52,A,452.88
460,13.6,A,10.1
461,12.5,A,10.8
462,13.6,A,9.8
463,11.3,A,11.3
464,11.16,A,8.82
465,10.35,A,9.81
466,10.53,A,8.1
467,524.96,A,265.88
468,13.6,A,8.3
469,12.9,A,10.4
470,565.08,A,431.12
471,625.6,A,335.24
472,9.72,A,8.46
473,639.2,A,449.48
474,12.9,A,14.0
475,11.1,A,11.7
476,11.25,A,9.0
477,557.6,A,419.56
478,13.8,A,11.7
479,13.6,A,8.7
480,14.1,A,9.0
481,606.56,A,405.96
482,9.27,A,6.57
483,13.1,A,9.9
484,13.8,A,11.2
485,13.8,A,9.7
486,9.72,A,7.56
487,9.99,A,7.29
488,504.56,A,345.44
489,606.56,A,425.68
490,13.6,A,10.6
491,12.5,A,9.9
492,12.8,A,12.5
493,12.06,A,7.47
494,12.9,A,9.8
495,10.8,A,8.19
496,13.2,A,7.3
497,12.0,A,10.0
498,581.4,A,510.0
499,13.14,A,7.92
500,13.3,A,10.6
501,13.6,A,12.6
502,13.4,A,10.9
503,11.2,A,8.4
504,9.09,A,8.28
505,11.97,A,7.83
506,11.7,A,11.1
507,11.6,A,12.0
508,12.8,A,9.7
509,10.26,A,6.3
510,9.36,A,7.65
511,12.8,A,12.9
512,10.26,A,9.36
513,11.4,A,11.5
514,9.45,A,7.47
515,14.6,A,5.6
516,12.9,A,10.1
517,14.3,A,8.3
518,550.12,A,495.72
519,10.53,A,8.82
520,573.92,A,497.08
521,13.7,A,12.2
522,11.25,A,7.11
523,11.79,A,8.19
524,567.12,A,372.64
525,12.7,A,12.6
526,12.4,A,8.6
527,578.0,A,522.24
528,12.2,A,11.8
529,12.6,A,8.8
530,563.72,A,397.12
531,12.7,A,9.7
532,12.6,A,7.8
533,13.8,A,9.7
534,14.8,A,10.5
535,540.6,A,454.24
536,10.0,A,11.8
537,11.7,A,11.8
538,14.4,A,10.2
539,14.6,A,11.6
540,12.2,A,7.7
541,629.68,A,403.92
542,12.0,A,9.2
543,656.2,A,449.48
544,9.18,A,8.19
545,471.92,A,449.48
546,553.52,A,580.04
547,10.62,A,9.45
548,9.9,A,10.3
549,13.9,A,10.1
550,652.8,A,344.08
551,10.62,A,8.28
552,12.33,A,5.4
553,14.7,A,10.2
554,10.71,A,8.01
555,14.2,A,8.7
556,673.2,A,405.96
557,519.52,A,437.24
558,12.51,A,6.39
559,11.4,A,9.6
560,9.7,A,7.3
561,636.48,A,527.0
562,13.6,A,10.1
563,12.24,A,8.28
564,11.7,A,8.6
565,11.07,A,9.45
566,12.6,A,10.3
567,12.2,A,9.5
568,13.2,A,10.1
569,13.9,A,10.3
570,609.96,A,497.08
571,13.1,A,10.7
572,11.2,A,7.6
573,12.8,A,8.7
574,13.8,A,9.3
575,639.2,A,369.92
576,12.8,A,10.1
577,13.6,A,8.5
578,13.1,A,9.7
579,13.8,A,9.4
580,12.42,A,6.66
581,12.15,A,7.47
582,12.3,A,9.2
583,629.68,A,587.52
584,14.4,A,9.6
585,13.4,A,9.4
586,12.3,A,7.7
587,8.91,A,6.84
588,14.2,A,12.1
589,533.8,A,374.68
590,13.9,A,13.4
591,591.6,A,397.8
592,9.18,A,9.27
593,558.96,A,468.52
594,12.5,A,10.1
595,673.88,A,595.0
596,12.78,A,6.12
597,431.8,A,395.08
598,13.5,A,9.2
599,602.48,A,416.84
600,11.8,A,10.7
601,15.4,A,8.9
602,13.6,A,11.1
603,10.26,A,8.82
604,9.18,A,9.27
605,570.52,A,375.36
606,10.08,A,9.45
607,11.3,A,8.6
608,13.2,A,7.4
609,12.33,A,10.53
610,11.3,A,9.5
611,11.3,A,7.9
612,11.16,A,6.12
613,15.4,A,9.1
614,11.9,A,8.2
615,627.64,A,510.0
616,12.06,A,9.09
617,516.8,A,428.4
618,12.3,A,11.9
619,632.4,A,432.48
620,10.9,A,8.5
621,9.0,A,7.47
622,9.36,A,6.93
623,13.5,A,11.7
624,11.6,A,9.4
625,11.5,A,9.6
626,13.6,A,13.6
627,13.4,A,11.0
628,11.8,A,9.3
629,14.1,A,11.1
630,11.2,A,11.8
631,12.6,A,9.4
632,589.56,A,458.32
633,721.48,A,513.4
634,14.4,A,11.3
635,12.9,A,11.3
636,13.6,A,12.3
637,15.0,A,11.9
638,10.17,A,6.84
639,11.7,A,5.13
640,13.2,A,10.8
641,511.36,A,488.92
642,13.2,A,10.8
643,11.43,A,7.92
644,9.72,A,7.02
645,624.24,A,389.64
646,11.61,A,8.91
647,11.61,A,7.29
648,13.4,A,11.2
649,686.12,A,478.72
650,608.6,A,363.8
651,575.28,A,442.68
652,11.8,A,8.8
653,14.4,A,10.0
654,13.7,A,9.3
655,10.98,A,8.91
656,11.07,A,8.82
657,8.91,A,5.49
658,14.6,A,10.8
659,12.9,A,10.1
660,12.5,A,8.9
661,9.72,A,8.1
662,12.9,A,9.7
663,14.1,A,8.0
664,11.16,A,9.27
665,12.8,A,11.9
666,10.89,A,7.38
667,12.9,A,11.4
668,561.68,A,461.04
669,11.07,A,7.92
670,9.99,A,7.65
671,557.6,A,435.2
672,10.26,A,8.19
673,14.7,A,8.7
674,14.2,A,9.3
675,9.2,A,11.7
676,654.84,A,417.52
677,13.5,A,9.8
678,515.44,A,408.68
679,14.8,A,9.9
680,14.0,A,12.0
681,10.98,A,7.02
682,11.07,A,7.38
683,9.7,A,8.8
684,13.1,A,11.8
685,588.88,A,601.12
686,12.5,A,10.9
687,13.7,A,10.0
688,9.99,A,8.46
689,13.3,A,11.1
690,13.0,A,8.3
691,604.52,A,518.84
692,13.4,A,12.9
693,10.8,A,8.28
694,12.9,A,9.4
695,14.9,A,8.0
696,12.3,A,12.2
697,14.4,A,13.5
698,9.45,A,7.2
699,14.6,A,9.1
700,14.0,A,8.9
701,11.07,A,5.94
702,12.3,A,12.5
703,11.61,A,7.74
704,620.16,A,505.24
705,13.0,A,11.2
706,11.34,A,9.54
707,14.0,A,10.6
708,563.04,A,345.44
709,10.71,A,6.57
710,12.7,A,10.4
711,613.36,A,435.88
712,563.04,A,417.52
713,11.34,A,9.81
714,11.5,A,8.8
715,13.9,A,10.2
716,14.5,A,7.8
717,629.68,A,395.08
718,9.9,A,8.28
719,12.51,A,7.92
720,11.5,A,10.0
721,636.48,A,456.96
722,15.8,A,7.1
723,9.36,A,8.91
724,13.3,A,10.5
725,11.52,A,9.36
726,11.4,A,9.8
727,14.7,A,7.0
728,12.7,A,10.4
729,14.4,A,8.7
730,12.42,A,9.18
731,11.5,A,8.8
732,15.0,A,10.6
733,13.4,A,11.4
734,12.6,A,10.2
735,12.6,A,10.9
736,9.9,A,7.92
737,611.32,A,410.04
738,11.16,A,8.46
739,13.0,A,10.6
740,12.7,A,9.6
741,13.5,A,8.9
742,11.34,A,7.11
743,15.0,A,11.6
744,12.0,A,12.2
745,14.2,A,10.9
746,422.28,A,419.56
747,9.99,A,8.73
748,12.6,A,11.8
749,11.5,A,11.1
750,12.2,A,13.1
751,12.1,A,11.9
752,14.1,A,9.5
753,13.4,A,7.2
754,554.88,A,351.56
755,592.28,A,477.36
756,12.2,A,8.1
757,13.3,A,11.7
758,14.22,A,9.09
759,10.8,A,7.74
760,546.72,A,464.44
761,9.81,A,9.09
762,12.8,A,11.9
763,15.4,A,8.6
764,14.2,A,8.8
765,12.1,A,10.5
766,10.8,A,7.56
767,11.0,A,10.7
768,13.0,A,9.0
769,605.88,A,381.48
770,12.0,A,9.3
771,11.16,A,6.66
772,557.6,A,636.48
773,14.2,A,9.7
774,13.5,A,9.5
775,9.63,A,10.08
776,623.56,A,440.64
777,676.6,A,311.44
778,11.7,A,11.4
779,652.8,A,471.24
780,13.6,A,10.5
781,12.4,A,8.6
782,17.1,A,10.9
783,13.5,A,6.9
784,10.08,A,8.1
785,14.5,A,11.6
786,13.5,A,6.66
787,11.1,A,10.8
788,671.16,A,418.88
789,10.53,A,8.73
790,12.2,A,10.8
791,11.6,A,10.1
792,557.6,A,601.12
793,10.8,A,7.2
794,11.25,A,8.55
795,9.81,A,8.19
796,10.8,A,6.3
797,12.4,A,9.7
798,11.79,A,6.75
799,13.5,A,9.1
800,661.64,A,543.32
801,14.5,A,12.1
802,14.1,A,9.6
803,11.43,A,6.48
804,14.0,A,8.0
805,701.08,A,483.48
806,553.52,A,463.08
807,13.1,A,10.8
808,617.44,A,417.52
809,13.0,A,12.4
810,9.45,A,9.99
811,8.73,A,6.93
812,561.0,A,510.0
813,12.7,A,8.1
814,544.0,A,417.52
815,576.64,A,525.64
816,10.62,A,8.01
817,639.88,A,491.64
818,11.61,A,7.83
819,9.63,A,9.36
820,10.35,A,7.47
821,697.0,A,488.92
822,10.08,A,7.29
823,13.3,A,11.3
824,11.07,A,8.46
825,13.7,A,10.1
826,12.4,A,10.9
827,12.3,A,9.8
828,12.06,A,7.83
829,9.72,A,8.82
830,565.76,A,415.48
831,8.46,A,8.1
832,11.97,A,8.82
833,578.68,A,403.24
834,9.54,A,8.73
835,9.81,A,7.29
836,646.68,A,413.44
837,12.9,A,9.1
838,12.9,A,9.3
839,11.52,A,6.75
840,12.1,A,8.9
841,9.18,A,8.19
842,14.8,A,10.5
843,11.6,A,9.4
844,682.04,A,362.44
845,622.88,A,408.68
846,605.2,A,488.92
847,13.3,A,12.1
848,12.2,A,9.6
849,10.6,A,7.1
850,14.2,A,10.7
851,9.9,A,6.75
852,9.72,A,8.37
853,587.52,A,429.76
854,584.8,A,308.04
855,11.9,A,11.7
856,15.1,A,11.6
857,14.6,A,9.1
858,9.36,A,8.73
859,635.8,A,539.24
860,11.07,A,6.75
861,12.5,A,11.7
862,13.8,A,7.9
863,616.08,A,385.56
864,10.35,A,7.83
865,650.76,A,408.68
866,9.9,A,5.85
867,639.88,A,361.76
868,607.24,A,416.84
869,10.71,A,10.08
870,14.1,A,9.2
871,10.44,A,11.52
872,12.4,A,10.0
873,13.41,A,9.81
874,688.16,A,472.6
875,10.71,A,6.03
876,12.7,A,11.5
877,14.6,A,11.0
878,11.9,A,10.1
879,11.6,A,7.6
880,8.64,A,8.01
881,14.3,A,8.4
882,652.12,A,435.88
883,556.92,A,456.96
884,13.6,A,8.8
885,14.8,A,9.9
886,10.08,A,9.18
887,642.6,A,550.12
888,11.3,A,11.5
889,633.08,A,407.32
890,12.0,A,12.3
891,14.6,A,10.0
892,9.81,A,7.56
893,12.24,A,5.94
894,13.0,A,12.1
895,11.16,A,8.37
896,14.0,A,10.8
897,10.8,A,11.3
898,12.2,A,8.8
899,14.7,A,10.4
900,499.12,A,431.8
901,15.6,A,10.5
902,8.55,A,7.83
903,9.99,A,9.45
904,12.4,A,9.4
905,10.7,A,8.9
906,612.0,A,432.48
907,12.3,A,8.9
908,499.8,A,469.88
909,507.96,A,409.36
910,646.68,A,452.2
911,10.9,A,10.5
912,610.64,A,476.0
913,8.82,A,9.54
914,436.56,A,578.0
915,12.4,A,9.3
916,10.71,A,7.65
917,13.4,A,9.4
918,620.16,A,504.56
919,14.0,A,10.2
920,12.0,A,10.5
921,13.3,A,7.9
922,514.76,A,456.28
923,11.8,A,12.2
924,10.53,A,9.45
925,619.48,A,445.4
926,11.1,A,9.0
927,9.45,A,9.18
928,522.92,A,448.12
929,516.8,A,505.92
930,612.0,A,490.96
931,10.89,A,7.47
932,572.56,A,477.36
933,12.4,A,11.4
934,14.3,A,12.2
935,10.53,A,9.0
936,11.8,A,9.8
937,614.72,A,452.88
938,10.53,A,6.03
939,488.92,A,303.28
940,11.4,A,11.5
941,13.1,A,11.1
942,14.1,A,10.4
943,11.8,A,11.8
944,14.7,A,8.9
945,13.77,A,9.81
946,8.19,A,9.45
947,610.64,A,501.16
948,11.0,A,12.8
949,12.4,A,11.9
950,15.0,A,8.3
951,12.06,A,9.18
952,9.72,A,7.65
953,11.07,A,6.21
954,14.3,A,7.9
955,531.08,A,452.2
956,13.1,A,11.0
957,635.8,A,330.48
958,491.64,A,393.04
959,10.8,A,8.19
960,10.62,A,7.83
961,11.52,A,6.66
962,13.5,A,9.6
963,589.56,A,438.6
964,11.61,A,9.09
965,11.1,A,9.1
966,14.0,A,12.5
967,13.3,A,9.5
968,9.54,A,7.29
969,10.89,A,8.91
970,14.8,A,8.2
971,14.8,A,10.9
972,9.54,A,7.83
973,510.0,A,465.12
974,14.3,A,10.7
975,569.84,A,565.08
976,14.8,A,9.4
977,15.3,A,10.0
978,15.6,A,9.9
979,15.0,A,12.5
980,11.52,A,8.28
981,14.3,A,9.7
982,562.36,A,429.76
983,12.9,A,8.3
984,14.2,A,11.7
985,11.7,A,5.7
986,13.6,A,12.3
987,13.2,A,9.9
988,11.43,A,8.19
989,14.1,A,10.0
990,13.0,A,9.6
991,12.9,A,12.0
992,694.96,A,369.92
993,13.0,A,8.3
994,15.0,A,12.3
995,12.0,A,10.5
996,8.64,A,7.83
997,11.0,A,11.8
998,601.12,A,531.08
999,11.79,A,9.99
1000,671.84,A,484.84
1001,677.96,A,371.96
1002,619.48,A,519.52
1003,13.0,A,9.8
1004,13.2,A,10.1
1005,11.52,A,8.91
1006,583.44,A,434.52
1007,14.1,A,12.7
1008,12.2,A,11.7
1009,650.76,A,423.64
1010,10.8,A,8.64
1011,12.6,A,9.8
1012,11.4,A,7.9
1013,14.3,A,12.6
1014,12.1,A,11.8
1015,9.99,A,8.37
1016,10.8,A,8.37
1017,548.76,A,412.08
1018,598.4,A,473.96
1019,10.35,A,9.18
1020,645.32,A,429.76
1021,11.1,A,11.9
1022,606.56,A,543.32
1023,11.88,A,9.45
1024,512.04,A,505.24
1025,14.4,A,10.7
1026,590.92,A,523.6
1027,12.1,A,7.1
1028,12.5,A,12.6
1029,12.6,A,11.8
1030,638.52,A,440.64
1031,12.2,A,10.2
1032,10.08,A,7.29
1033,8.46,A,7.38
1034,11.61,A,9.9
1035,10.98,A,8.91
1036,13.2,A,8.3
1037,14.4,A,8.6
1038,13.9,A,10.0
1039,641.92,A,480.08
1040,13.7,A,10.0
1041,12.5,A,11.4
1042,12.2,A,8.4
1043,12.2,A,12.4
1044,11.4,A,10.0
1045,518.84,A,229.84
1046,11.5,A,11.4
1047,12.8,A,8.3
1048,16.1,A,10.1
1049,11.0,A,12.2
1050,588.88,A,364.48
1051,10.0,A,8.6
1052,12.3,A,11.1
1053,10.62,A,6.93
1054,8.46,A,8.37
1055,11.43,A,8.1
1056,10.98,A,6.66
1057,629.0,A,399.84
1058,529.04,A,521.56
1059,544.0,A,556.24
1060,11.1,A,10.9
1061,636.48,A,541.96
1062,610.64,A,408.0
1063,13.6,A,9.8
1064,10.62,A,5.94
1065,16.4,A,9.3
1066,13.2,A,10.3
1067,10.2,A,8.2
1068,13.6,A,10.0
1069,11.8,A,10.1
1070,13.7,A,10.5
1071,12.3,A,8.7
1072,433.16,A,521.56
1073,13.0,A,10.4
1074,599.08,A,484.84
1075,12.6,A,10.5
1076,11.88,A,9.09
1077,9.18,A,6.39
1078,9.63,A,7.83
1079,10.3,A,6.5
1080,575.28,A,558.28
1081,11.4,A,10.1
1082,14.1,A,9.2
1083,12.0,A,13.1
1084,8.91,A,6.48
1085,13.4,A,12.6
1086,13.6,A,8.3
1087,13.0,A,12.1
1088,13.0,A,8.3
1089,13.3,A,10.5
1090,12.51,A,9.27
1091,12.96,A,7.83
1092,552.16,A,355.64
1093,13.7,A,11.0
1094,10.71,A,8.01
1095,614.72,A,518.84
1096,12.1,A,10.5
1097,11.07,A,6.21
1098,11.4,A,9.4
1099,12.4,A,11.4
1100,12.5,A,8.7
1101,12.0,A,11.6
1102,14.9,A,6.5
1103,14.2,A,8.1
1104,14.2,A,10.6
1105,662.32,A,515.44
1106,11.7,A,11.25
1107,578.68,A,456.96
1108,13.3,A,11.9
1109,10.17,A,7.92
1110,13.3,A,9.7
1111,13.5,A,10.7
1112,9.45,A,7.38
1113,10.17,A,6.12
1114,11.88,A,7.47
1115,12.4,A,10.9
1116,529.04,A,514.76
1117,634.44,A,386.24
1118,15.0,A,10.0
1119,13.0,A,6.2
1120,10.17,A,8.1
1121,11.6,A,12.1
1122,15.7,A,10.6
1123,13.7,A,11.3
1124,10.08,A,9.27
1125,14.9,A,10.6
1126,10.2,A,9.7
1127,579.36,A,551.48
1128,15.8,A,9.4
1129,10.35,A,7.83
1130,9.27,A,8.01
1131,616.08,A,425.0
1132,13.0,A,9.5
1133,13.8,A,9.4
1134,628.32,A,443.36
1135,13.4,A,11.1
1136,10.8,A,10.0
1137,11.43,A,6.93
1138,10.98,A,7.83
1139,14.6,A,7.5
1140,10.08,A,9.45
1141,13.7,A,10.6
1142,623.56,A,452.2
1143,605.2,A,483.48
1144,669.8,A,531.08
1145,12.6,A,7.3
1146,548.76,A,485.52
1147,589.56,A,533.12
1148,10.53,A,7.83
1149,9.9,A,8.1
