ID,premium,risk_type,currency
444,14.3,A,USD
445,13.9,A,USD
446,12.1,A,USD
447,11.5,A,USD
448,10.9,A,USD
449,13.1,A,USD
450,11.6,A,USD
451,11.1,A,EUR
452,13.2,A,USD
453,11.9,A,EUR
454,85.9,A,CNY
455,11,A,EUR
456,86.6,A,CNY
457,14.6,A,USD
458,15.5,A,USD
459,88.9,A,CNY
460,13.6,A,USD
461,12.5,A,USD
462,13.6,A,USD
463,11.3,A,USD
464,12.4,A,EUR
465,11.5,A,EUR
466,11.7,A,EUR
467,77.2,A,CNY
468,13.6,A,USD
469,12.9,A,USD
470,83.1,A,CNY
471,92,A,CNY
472,10.8,A,EUR
473,94,A,CNY
474,12.9,A,USD
475,11.1,A,USD
476,12.5,A,EUR
477,82,A,CNY
478,13.8,A,USD
479,13.6,A,USD
480,14.1,A,USD
481,89.2,A,CNY
482,10.3,A,EUR
483,13.1,A,USD
484,13.8,A,USD
485,13.8,A,USD
486,10.8,A,EUR
487,11.1,A,EUR
488,74.2,A,CNY
489,89.2,A,CNY
490,13.6,A,USD
491,12.5,A,USD
492,12.8,A,USD
493,13.4,A,EUR
494,12.9,A,USD
495,12,A,EUR
496,13.2,A,USD
497,12,A,USD
498,85.5,A,CNY
499,14.6,A,EUR
500,13.3,A,USD
501,13.6,A,USD
502,13.4,A,USD
503,11.2,A,USD
504,10.1,A,EUR
505,13.3,A,EUR
506,11.7,A,USD
507,11.6,A,USD
508,12.8,A,USD
509,11.4,A,EUR
510,10.4,A,EUR
511,12.8,A,USD
512,11.4,A,EUR
513,11.4,A,USD
514,10.5,A,EUR
515,14.6,A,USD
516,12.9,A,USD
517,14.3,A,USD
518,80.9,A,CNY
519,11.7,A,EUR
520,84.4,A,CNY
521,13.7,A,USD
522,12.5,A,EUR
523,13.1,A,EUR
524,83.4,A,CNY
525,12.7,A,USD
526,12.4,A,USD
527,85,A,CNY
528,12.2,A,USD
529,12.6,A,USD
530,82.9,A,CNY
531,12.7,A,USD
532,12.6,A,USD
533,13.8,A,USD
534,14.8,A,USD
535,79.5,A,CNY
536,10,A,USD
537,11.7,A,USD
538,14.4,A,USD
539,14.6,A,USD
540,12.2,A,USD
541,92.6,A,CNY
542,12,A,USD
543,96.5,A,CNY
544,10.2,A,EUR
545,69.4,A,CNY
546,81.4,A,CNY
547,11.8,A,EUR
548,9.9,A,USD
549,13.9,A,USD
550,96,A,CNY
551,11.8,A,EUR
552,13.7,A,EUR
553,14.7,A,USD
554,11.9,A,EUR
555,14.2,A,USD
556,99,A,CNY
557,76.4,A,CNY
558,13.9,A,EUR
559,11.4,A,USD
560,9.7,A,USD
561,93.6,A,CNY
562,13.6,A,USD
563,13.6,A,EUR
564,11.7,A,USD
565,12.3,A,EUR
566,12.6,A,USD
567,12.2,A,USD
568,13.2,A,USD
569,13.9,A,USD
570,89.7,A,CNY
571,13.1,A,USD
572,11.2,A,USD
573,12.8,A,USD
574,13.8,A,USD
575,94,A,CNY
576,12.8,A,USD
577,13.6,A,USD
578,13.1,A,USD
579,13.8,A,USD
580,13.8,A,EUR
581,13.5,A,EUR
582,12.3,A,USD
583,92.6,A,CNY
584,14.4,A,USD
585,13.4,A,USD
586,12.3,A,USD
587,9.9,A,EUR
588,14.2,A,USD
589,78.5,A,CNY
590,13.9,A,USD
591,87,A,CNY
592,10.2,A,EUR
593,82.2,A,CNY
594,12.5,A,USD
595,99.1,A,CNY
596,14.2,A,EUR
597,63.5,A,CNY
598,13.5,A,USD
599,88.6,A,CNY
600,11.8,A,USD
601,15.4,A,USD
602,13.6,A,USD
603,11.4,A,EUR
604,10.2,A,EUR
605,83.9,A,CNY
606,11.2,A,EUR
607,11.3,A,USD
608,13.2,A,USD
609,13.7,A,EUR
610,11.3,A,USD
611,11.3,A,USD
612,12.4,A,EUR
613,15.4,A,USD
614,11.9,A,USD
615,92.3,A,CNY
616,13.4,A,EUR
617,76,A,CNY
618,12.3,A,USD
619,93,A,CNY
620,10.9,A,USD
621,10,A,EUR
622,10.4,A,EUR
623,13.5,A,USD
624,11.6,A,USD
625,11.5,A,USD
626,13.6,A,USD
627,13.4,A,USD
628,11.8,A,USD
629,14.1,A,USD
630,11.2,A,USD
631,12.6,A,USD
632,86.7,A,CNY
633,106.1,A,CNY
634,14.4,A,USD
635,12.9,A,USD
636,13.6,A,USD
637,15,A,USD
638,11.3,A,EUR
639,13,A,EUR
640,13.2,A,USD
641,75.2,A,CNY
642,13.2,A,USD
643,12.7,A,EUR
644,10.8,A,EUR
645,91.8,A,CNY
646,12.9,A,EUR
647,12.9,A,EUR
648,13.4,A,USD
649,100.9,A,CNY
650,89.5,A,CNY
651,84.6,A,CNY
652,11.8,A,USD
653,14.4,A,USD
654,13.7,A,USD
655,12.2,A,EUR
656,12.3,A,EUR
657,9.9,A,EUR
658,14.6,A,USD
659,12.9,A,USD
660,12.5,A,USD
661,10.8,A,EUR
662,12.9,A,USD
663,14.1,A,USD
664,12.4,A,EUR
665,12.8,A,USD
666,12.1,A,EUR
667,12.9,A,USD
668,82.6,A,CNY
669,12.3,A,EUR
670,11.1,A,EUR
671,82,A,CNY
672,11.4,A,EUR
673,14.7,A,USD
674,14.2,A,USD
675,9.2,A,USD
676,96.3,A,CNY
677,13.5,A,USD
678,75.8,A,CNY
679,14.8,A,USD
680,14,A,USD
681,12.2,A,EUR
682,12.3,A,EUR
683,9.7,A,USD
684,13.1,A,USD
685,86.6,A,CNY
686,12.5,A,USD
687,13.7,A,USD
688,11.1,A,EUR
689,13.3,A,USD
690,13,A,USD
691,88.9,A,CNY
692,13.4,A,USD
693,12,A,EUR
694,12.9,A,USD
695,14.9,A,USD
696,12.3,A,USD
697,14.4,A,USD
698,10.5,A,EUR
699,14.6,A,USD
700,14,A,USD
701,12.3,A,EUR
702,12.3,A,USD
703,12.9,A,EUR
704,91.2,A,CNY
705,13,A,USD
706,12.6,A,EUR
707,14,A,USD
708,82.8,A,CNY
709,11.9,A,EUR
710,12.7,A,USD
711,90.2,A,CNY
712,82.8,A,CNY
713,12.6,A,EUR
714,11.5,A,USD
715,13.9,A,USD
716,14.5,A,USD
717,92.6,A,CNY
718,11,A,EUR
719,13.9,A,EUR
720,11.5,A,USD
721,93.6,A,CNY
722,15.8,A,USD
723,10.4,A,EUR
724,13.3,A,USD
725,12.8,A,EUR
726,11.4,A,USD
727,14.7,A,USD
728,12.7,A,USD
729,14.4,A,USD
730,13.8,A,EUR
731,11.5,A,USD
732,15,A,USD
733,13.4,A,USD
734,12.6,A,USD
735,12.6,A,USD
736,11,A,EUR
737,89.9,A,CNY
738,12.4,A,EUR
739,13,A,USD
740,12.7,A,USD
741,13.5,A,USD
742,12.6,A,EUR
743,15,A,USD
744,12,A,USD
745,14.2,A,USD
746,62.1,A,CNY
747,11.1,A,EUR
748,12.6,A,USD
749,11.5,A,USD
750,12.2,A,USD
751,12.1,A,USD
752,14.1,A,USD
753,13.4,A,USD
754,81.6,A,CNY
755,87.1,A,CNY
756,12.2,A,USD
757,13.3,A,USD
758,15.8,A,EUR
759,12,A,EUR
760,80.4,A,CNY
761,10.9,A,EUR
762,12.8,A,USD
763,15.4,A,USD
764,14.2,A,USD
765,12.1,A,USD
766,12,A,EUR
767,11,A,USD
768,13,A,USD
769,89.1,A,CNY
770,12,A,USD
771,12.4,A,EUR
772,82,A,CNY
773,14.2,A,USD
774,13.5,A,USD
775,10.7,A,EUR
776,91.7,A,CNY
777,99.5,A,CNY
778,11.7,A,USD
779,96,A,CNY
780,13.6,A,USD
781,12.4,A,USD
782,17.1,A,USD
783,13.5,A,USD
784,11.2,A,EUR
785,14.5,A,USD
786,15,A,EUR
787,11.1,A,USD
788,98.7,A,CNY
789,11.7,A,EUR
790,12.2,A,USD
791,11.6,A,USD
792,82,A,CNY
793,12,A,EUR
794,12.5,A,EUR
795,10.9,A,EUR
796,12,A,EUR
797,12.4,A,USD
798,13.1,A,EUR
799,13.5,A,USD
800,97.3,A,CNY
801,14.5,A,USD
802,14.1,A,USD
803,12.7,A,EUR
804,14,A,USD
805,103.1,A,CNY
806,81.4,A,CNY
807,13.1,A,USD
808,90.8,A,CNY
809,13,A,USD
810,10.5,A,EUR
811,9.7,A,EUR
812,82.5,A,CNY
813,12.7,A,USD
814,80,A,CNY
815,84.8,A,CNY
816,11.8,A,EUR
817,94.1,A,CNY
818,12.9,A,EUR
819,10.7,A,EUR
820,11.5,A,EUR
821,102.5,A,CNY
822,11.2,A,EUR
823,13.3,A,USD
824,12.3,A,EUR
825,13.7,A,USD
826,12.4,A,USD
827,12.3,A,USD
828,13.4,A,EUR
829,10.8,A,EUR
830,83.2,A,CNY
831,9.4,A,EUR
832,13.3,A,EUR
833,85.1,A,CNY
834,10.6,A,EUR
835,10.9,A,EUR
836,95.1,A,CNY
837,12.9,A,USD
838,12.9,A,USD
839,12.8,A,EUR
840,12.1,A,USD
841,10.2,A,EUR
842,14.8,A,USD
843,11.6,A,USD
844,100.3,A,CNY
845,91.6,A,CNY
846,89,A,CNY
847,13.3,A,USD
848,12.2,A,USD
849,10.6,A,USD
850,14.2,A,USD
851,11,A,EUR
852,10.8,A,EUR
853,86.4,A,CNY
854,86,A,CNY
855,11.9,A,USD
856,15.1,A,USD
857,14.6,A,USD
858,10.4,A,EUR
859,93.5,A,CNY
860,12.3,A,EUR
861,12.5,A,USD
862,13.8,A,USD
863,90.6,A,CNY
864,11.5,A,EUR
865,95.7,A,CNY
866,11,A,EUR
867,94.1,A,CNY
868,89.3,A,CNY
869,11.9,A,EUR
870,14.1,A,USD
871,11.6,A,EUR
872,12.4,A,USD
873,14.9,A,EUR
874,101.2,A,CNY
875,11.9,A,EUR
876,12.7,A,USD
877,14.6,A,USD
878,11.9,A,USD
879,11.6,A,USD
880,9.6,A,EUR
881,14.3,A,USD
882,95.9,A,CNY
883,81.9,A,CNY
884,13.6,A,USD
885,14.8,A,USD
886,11.2,A,EUR
887,94.5,A,CNY
888,11.3,A,USD
889,93.1,A,CNY
890,12,A,USD
891,14.6,A,USD
892,10.9,A,EUR
893,13.6,A,EUR
894,13,A,USD
895,12.4,A,EUR
896,14,A,USD
897,10.8,A,USD
898,12.2,A,USD
899,14.7,A,USD
900,73.4,A,CNY
901,15.6,A,USD
902,9.5,A,EUR
903,11.1,A,EUR
904,12.4,A,USD
905,10.7,A,USD
906,90,A,CNY
907,12.3,A,USD
908,73.5,A,CNY
909,74.7,A,CNY
910,95.1,A,CNY
911,10.9,A,USD
912,89.8,A,CNY
913,9.8,A,EUR
914,64.2,A,CNY
915,12.4,A,USD
916,11.9,A,EUR
917,13.4,A,USD
918,91.2,A,CNY
919,14,A,USD
920,12,A,USD
921,13.3,A,USD
922,75.7,A,CNY
923,11.8,A,USD
924,11.7,A,EUR
925,91.1,A,CNY
926,11.1,A,USD
927,10.5,A,EUR
928,76.9,A,CNY
929,76,A,CNY
930,90,A,CNY
931,12.1,A,EUR
932,84.2,A,CNY
933,12.4,A,USD
934,14.3,A,USD
935,11.7,A,EUR
936,11.8,A,USD
937,90.4,A,CNY
938,11.7,A,EUR
939,71.9,A,CNY
940,11.4,A,USD
941,13.1,A,USD
942,14.1,A,USD
943,11.8,A,USD
944,14.7,A,USD
945,15.3,A,EUR
946,9.1,A,EUR
947,89.8,A,CNY
948,11,A,USD
949,12.4,A,USD
950,15,A,USD
951,13.4,A,EUR
952,10.8,A,EUR
953,12.3,A,EUR
954,14.3,A,USD
955,78.1,A,CNY
956,13.1,A,USD
957,93.5,A,CNY
958,72.3,A,CNY
959,12,A,EUR
960,11.8,A,EUR
961,12.8,A,EUR
962,13.5,A,USD
963,86.7,A,CNY
964,12.9,A,EUR
965,11.1,A,USD
966,14,A,USD
967,13.3,A,USD
968,10.6,A,EUR
969,12.1,A,EUR
970,14.8,A,USD
971,14.8,A,USD
972,10.6,A,EUR
973,75,A,CNY
974,14.3,A,USD
975,83.8,A,CNY
976,14.8,A,USD
977,15.3,A,USD
978,15.6,A,USD
979,15,A,USD
980,12.8,A,EUR
981,14.3,A,USD
982,82.7,A,CNY
983,12.9,A,USD
984,14.2,A,USD
985,11.7,A,USD
986,13.6,A,USD
987,13.2,A,USD
988,12.7,A,EUR
989,14.1,A,USD
990,13,A,USD
991,12.9,A,USD
992,102.2,A,CNY
993,13,A,USD
994,15,A,USD
995,12,A,USD
996,9.6,A,EUR
997,11,A,USD
998,88.4,A,CNY
999,13.1,A,EUR
1000,98.8,A,CNY
1001,99.7,A,CNY
1002,91.1,A,CNY
1003,13,A,USD
1004,13.2,A,USD
1005,12.8,A,EUR
1006,85.8,A,CNY
1007,14.1,A,USD
1008,12.2,A,USD
1009,95.7,A,CNY
1010,12,A,EUR
1011,12.6,A,USD
1012,11.4,A,USD
1013,14.3,A,USD
1014,12.1,A,USD
1015,11.1,A,EUR
1016,12,A,EUR
1017,80.7,A,CNY
1018,88,A,CNY
1019,11.5,A,EUR
1020,94.9,A,CNY
1021,11.1,A,USD
1022,89.2,A,CNY
1023,13.2,A,EUR
1024,75.3,A,CNY
1025,14.4,A,USD
1026,86.9,A,CNY
1027,12.1,A,USD
1028,12.5,A,USD
1029,12.6,A,USD
1030,93.9,A,CNY
1031,12.2,A,USD
1032,11.2,A,EUR
1033,9.4,A,EUR
1034,12.9,A,EUR
1035,12.2,A,EUR
1036,13.2,A,USD
1037,14.4,A,USD
1038,13.9,A,USD
1039,94.4,A,CNY
1040,13.7,A,USD
1041,12.5,A,USD
1042,12.2,A,USD
1043,12.2,A,USD
1044,11.4,A,USD
1045,76.3,A,CNY
1046,11.5,A,USD
1047,12.8,A,USD
1048,16.1,A,USD
1049,11,A,USD
1050,86.6,A,CNY
1051,10,A,USD
1052,12.3,A,USD
1053,11.8,A,EUR
1054,9.4,A,EUR
1055,12.7,A,EUR
1056,12.2,A,EUR
1057,92.5,A,CNY
1058,77.8,A,CNY
1059,80,A,CNY
1060,11.1,A,USD
1061,93.6,A,CNY
1062,89.8,A,CNY
1063,13.6,A,USD
1064,11.8,A,EUR
1065,16.4,A,USD
1066,13.2,A,USD
1067,10.2,A,USD
1068,13.6,A,USD
1069,11.8,A,USD
1070,13.7,A,USD
1071,12.3,A,USD
1072,63.7,A,CNY
1073,13,A,USD
1074,88.1,A,CNY
1075,12.6,A,USD
1076,13.2,A,EUR
1077,10.2,A,EUR
1078,10.7,A,EUR
1079,10.3,A,USD
1080,84.6,A,CNY
1081,11.4,A,USD
1082,14.1,A,USD
1083,12,A,USD
1084,9.9,A,EUR
1085,13.4,A,USD
1086,13.6,A,USD
1087,13,A,USD
1088,13,A,USD
1089,13.3,A,USD
1090,13.9,A,EUR
1091,14.4,A,EUR
1092,81.2,A,CNY
1093,13.7,A,USD
1094,11.9,A,EUR
1095,90.4,A,CNY
1096,12.1,A,USD
1097,12.3,A,EUR
1098,11.4,A,USD
1099,12.4,A,USD
1100,12.5,A,USD
1101,12,A,USD
1102,14.9,A,USD
1103,14.2,A,USD
1104,14.2,A,USD
1105,97.4,A,CNY
1106,13,A,EUR
1107,85.1,A,CNY
1108,13.3,A,USD
1109,11.3,A,EUR
1110,13.3,A,USD
1111,13.5,A,USD
1112,10.5,A,EUR
1113,11.3,A,EUR
1114,13.2,A,EUR
1115,12.4,A,USD
1116,77.8,A,CNY
1117,93.3,A,CNY
1118,15,A,USD
1119,13,A,USD
1120,11.3,A,EUR
1121,11.6,A,USD
1122,15.7,A,USD
1123,13.7,A,USD
1124,11.2,A,EUR
1125,14.9,A,USD
1126,10.2,A,USD
1127,85.2,A,CNY
1128,15.8,A,USD
1129,11.5,A,EUR
1130,10.3,A,EUR
1131,90.6,A,CNY
1132,13,A,USD
1133,13.8,A,USD
1134,92.4,A,CNY
1135,13.4,A,USD
1136,10.8,A,USD
1137,12.7,A,EUR
1138,12.2,A,EUR
1139,14.6,A,USD
1140,11.2,A,EUR
1141,13.7,A,USD
1142,91.7,A,CNY
1143,89,A,CNY
1144,98.5,A,CNY
1145,12.6,A,USD
1146,80.7,A,CNY
1147,86.7,A,CNY
1148,11.7,A,EUR
1149,11,A,EUR
1150,93.2,A,CNY
1151,10.9,A,EUR
1152,100,A,CNY
1153,14.5,A,USD
1154,89.2,A,CNY
1155,13,A,USD
1156,13.4,A,USD
1157,13.4,A,USD
1158,11.5,A,EUR
1159,80.8,A,CNY
1160,12.7,A,EUR
1161,11.9,A,USD
1162,13.4,A,USD
1163,12.1,A,EUR
1164,12.5,A,USD
1165,12.6,A,EUR
1166,12.7,A,USD
1167,9.6,A,EUR
1168,12.9,A,USD
1169,84.6,A,CNY
1170,11.1,A,EUR
1171,103.1,A,CNY
1172,100.6,A,CNY
1173,15.9,A,USD
1174,11.2,A,USD
1175,98.4,A,CNY
1176,10.7,A,EUR
1177,11.6,A,EUR
1178,11.7,A,USD
1179,14.7,A,USD
1180,13.5,A,USD
1181,13.4,A,USD
1182,12.5,A,USD
1183,11.3,A,EUR
1184,14,A,USD
1185,97.2,A,CNY
1186,96,A,CNY
1187,16,A,USD
1188,85.2,A,CNY
1189,14.3,A,USD
1190,69.2,A,CNY
1191,12.9,A,USD
1192,12.5,A,USD
1193,14.4,A,USD
1194,12.1,A,EUR
1195,84.4,A,CNY
1196,12.8,A,EUR
1197,11.1,A,EUR
1198,13.9,A,USD
1199,95.7,A,CNY
1200,10.5,A,USD
1201,101,A,CNY
1202,90.9,A,CNY
1203,15.7,A,USD
1204,95.1,A,CNY
1205,13.5,A,EUR
1206,14.3,A,USD
1207,11.9,A,USD
1208,84.4,A,CNY
1209,11.5,A,EUR
1210,12.4,A,EUR
1211,12.9,A,USD
1212,12.3,A,EUR
1213,14.1,A,USD
1214,12.5,A,EUR
1215,13.5,A,USD
1216,10.6,A,USD
1217,90,A,CNY
1218,12,A,USD
